CODE;NAME
040303;Waiting associated with NonHH children's health
040399;Activities related to NonHH child's health, n.e.c.
0403;Activities Related to NonHH Children's Health
040401;Physical care for NonHH adults
040402;Looking after NonHH adult (as a primary activity)
040403;Providing medical care to NonHH adult
040404;Obtaining medical and care services for NonHH adult
040405;Waiting associated with caring for NonHH adults
040499;Caring for NonHH adults, n.e.c.
0404;Caring For Nonhousehold Adults
040501;Housework, cooking, & shopping assistance for NonHH adults
040502;House & lawn maintenance & repair assistance for NonHH adults
040503;Animal & pet care assistance for NonHH adults
040504;Vehicle & appliance maintenance/repair assistance for NonHH adults
040505;Financial management assistance for NonHH adults
040506;Household management & paperwork assistance for NonHH adults
040507;Picking up/dropping off NonHH adult
040508;Waiting associated with helping NonHH adults
040599;Helping NonHH adults, n.e.c.
0405;Helping Nonhousehold Adults
049999;Caring for & helping NonHH members, n.e.c.
0499;Caring For & Helping Nonhousehold Adults, n.e.c.
04;Caring for & Helping Nonhousehold (NonHH) Members
050101;Work, main job
050102;Work, other job(s)
050103;Security procedures related to work
050189;Working, n.e.c.
0501;Working
050201;Socializing, relaxing, and leisure as part of job
050202;Eating and drinking as part of job
050203;Sports and exercise as part of job
050204;Security procedures as part of job
050289;Work-related activities, n.e.c.
0502;Work-Related Activities
050301;Income-generating hobbies, crafts, and food
050302;Income-generating performances
050303;Income-generating services
050304;Income-generating rental property activities
050389;Other income-generating activities, n.e.c.
0503;Other Income-Generating Activities
050403;Job interviewing
050404;Waiting associated with job search or interview
050405;Security procedures related to job search/interviewing
050481;Job search activities
050499;Job search and Interviewing, n.e.c.
0504;Job Search and Interviewing
059999;Work and work-related activities, n.e.c.
0599;Work and Work-Related Activities, n.e.c.
05;Work & Work-Related Activities
060101;Taking class for degree, certification, or licensure
060102;Taking class for personal interest
060103;Waiting associated with taking classes
060104;Security procedures related to taking classes
060199;Taking class, n.e.c.
0601;Taking Class
060201;Extracurricular club activities
060202;Extracurricular music & performance activities
060203;Extracurricular student government activities
060289;Education-related extracurricular activities, n.e.c.
0602;Extracurricular School Activities (Except Sports)
060301;Research/homework for class for degree, certification, or licensure
060302;Research/homework for class for pers. interest
060303;Waiting associated with research/homework
060399;Research/homework n.e.c.
0603;Research/Homework
060401;Administrative activities: class for degree, certification, or licensure
060402;Administrative activities: class for personal interest
060403;Waiting associated w/admin. activities (education)
060499;Administrative for education, n.e.c.
0604;Registration/Administrative activities
069999;Education, n.e.c.
0699;Education, n.e.c.
06;Education
070101;Grocery shopping
070102;Purchasing gas
070103;Purchasing food (not groceries)
070104;Shopping, except groceries, food and gas
070105;Waiting associated with shopping
070199;Shopping, n.e.c.
0701;Shopping (Store, Telephone, Internet)
070201;Comparison shopping
070299;Researching purchases, n.e.c.
0702;Researching Purchases
070301;Security procedures related to consumer purchases
070399;Security procedures related to consumer purchases, n.e.c.
0703;Security Procedures Related to Consumer Purchases
079999;Consumer purchases, n.e.c.
0799;Consumer Purchases, n.e.c.
07;Consumer Purchases
080101;Using paid childcare services
080102;Waiting associated w/purchasing childcare services
080199;Using paid childcare services, n.e.c.
0801;Professional & Personal Care Services
080201;Banking
080202;Using other financial services
080203;Waiting associated w/banking/financial services
080299;Using financial services and banking, n.e.c.
0802;Financial Services and Banking
080301;Using legal services
080302;Waiting associated with legal services
080399;Using legal services, n.e.c.
0803;Legal Services
080401;Using health and care services outside the home
080402;Using in-home health and care services
080403;Waiting associated with medical services
080499;Using medical services, n.e.c.
0804;Medical and Care Services
080501;Using personal care services
080502;Waiting associated w/personal care services
080599;Using personal care services, n.e.c.
0805;Personal Care Services
080601;Activities related to purchasing/selling real estate
080602;Waiting associated w/purchasing/selling real estate
080699;Using real estate services, n.e.c.
0806;Real Estate
080701;Using veterinary services
080702;Waiting associated with veterinary services
080799;Using veterinary services, n.e.c.
0807;Veterinary Services (excluding grooming)
080801;Security procedures related to professional/personal services.
080899;Security procedures related to professional/personal services n.e.c.
0808;Security Procedures Related to Professional/Personal Services
089999;Professional and personal services, n.e.c.
0899;Professional and Personal Services, n.e.c.
08;Professional & Personal Care Services
090101;Using interior cleaning services
090102;Using meal preparation services
090103;Using clothing repair and cleaning services
090104;Waiting associated with using household services
090199;Using household services, n.e.c.
0901;Household Services (not done by self)
090201;Using home maint/repair/décor/construction services
090202;Waiting associated w/ home main/repair/décor/constr
090299;Using home maint/repair/décor/constr services, n.e.c.
0902;Home Maintenance/Repair/Décor/Construction (not done by self)
090301;Using pet services
090302;Waiting associated with pet services
090399;Using pet services, n.e.c.
0903;Pet Services (not done by self, not vet)
090401;Using lawn and garden services
090402;Waiting associated with using lawn & garden services
090499;Using lawn and garden services, n.e.c.
0904;Lawn & Garden Services (not done by self)
090501;Using vehicle maintenance or repair services
090502;Waiting associated with vehicle main. or repair services
090599;Using vehicle maint. & repair services, n.e.c.
0905;Vehicle Maintenance & Repair Services (not done by self)
099999;Using household services, n.e.c.
0999;Household Services, n.e.c.
09;Household Services (not done by self)
100101;Using police and fire services
100102;Using social services
100103;Obtaining licenses & paying fines, fees, taxes
100199;Using government services, n.e.c.
1001;Using Government Services
100201;Civic obligations & participation
100299;Civic obligations & participation, n.e.c.
1002;Civic Obligations & Participation
100381;Waiting associated w/ using government services
100381;Waiting associated with using government services
100383;Waiting associated w/civic obligations & participation
100399;Waiting assoc. w/government services or civic obligations, n.e.c.
1003;Waiting Associated w/ Government Services or Civic Obligations
100401;Security procedures related to government services/civic obligations
100499;Security procedures related to government services/civic obligations, n.e.c.
1004;Security Procedures Related to Government Services or Civic Obligations
109999;Government services, n.e.c.
1099;Government services, n.e.c.
10;Government Services & Civic Obligations
110101;Eating and drinking
110199;Eating and drinking, n.e.c.
1101;Eating and Drinking
110281;Waiting associated w/eating & drinking
110289;Waiting associated with eating & drinking, n.e.c.
1102;Waiting associated with Eating & Drinking
119999;Eating and drinking, n.e.c.
1199;Eating and Drinking, n.e.c.
11;Eating and Drinking
120101;Socializing and communicating with others
120199;Socializing and communicating, n.e.c.
1201;Socializing and Communicating
120201;Attending or hosting parties/receptions/ceremonies
120202;Attending meetings for personal interest (not volunteering)
120299;Attending/hosting social events, n.e.c.
1202;Attending or Hosting Social Events
120301;Relaxing, thinking
120302;Tobacco and drug use
120303;Television and movies (not religious)
120304;Television (religious)
120305;Listening to the radio
120306;Listening to/playing music (not radio)
120307;Playing games
120308;Computer use for leisure (excluding Games)
120309;Arts and crafts as a hobby
120310;Collecting as a hobby
120311;Hobbies, except arts & crafts and collecting
120312;Reading for personal interest
120313;Writing for personal interest
120399;Relaxing and leisure, n.e.c.
1203;Relaxing and Leisure
120401;Attending performing arts
120402;Attending museums
120403;Attending movies/film
120404;Attending gambling establishments
120405;Security procedures related to arts & entertainment
120499;Arts and entertainment, n.e.c.
1204;Arts and Entertainment (other than sports)
120501;Waiting assoc. w/socializing & communicating
120502;Waiting assoc. w/attending/hosting social events
120503;Waiting associated with relaxing/leisure
120504;Waiting associated with arts & entertainment
120599;Waiting associated with socializing, n.e.c.
1205;Waiting associated with Socializing, Relaxing, and Leisure
129999;Socializing, relaxing, and leisure, n.e.c.
1299;Socializing, Relaxing, and Leisure, n.e.c.
12;Socializing, Relaxing, and Leisure
130101;Doing aerobics
130102;Playing baseball
130103;Playing basketball
130104;Biking
130105;Playing billiards
130106;Boating
130107;Bowling
130108;Climbing, spelunking, caving
130109;Dancing
130110;Participating in equestrian sports
130111;Fencing
130112;Fishing
130113;Playing football
130114;Golfing
130115;Doing gymnastics
130116;Hiking
130117;Playing hockey
130118;Hunting
130119;Participating in martial arts
130120;Playing racquet sports
130121;Participating in rodeo competitions
130122;Rollerblading
130123;Playing rugby
130124;Running
130125;Skiing, ice skating, snowboarding
130126;Playing soccer
130127;Softball
130128;Using cardiovascular equipment
130129;Vehicle touring/racing
130130;Playing volleyball
130131;Walking
130132;Participating in water sports
130133;Weightlifting/strength training
130134;Working out, unspecified
130135;Wrestling
130136;Doing yoga
130199;Playing sports n.e.c.
1301;Participating in Sports, Exercise, and Recreation
130201;Watching aerobics
130202;Watching baseball
130203;Watching basketball
130204;Watching biking
130205;Watching billiards
130206;Watching boating
130207;Watching bowling
130208;Watching climbing, spelunking, caving
130209;Watching dancing
130210;Watching equestrian sports
130211;Watching fencing
130212;Watching fishing
130213;Watching football
130214;Watching golfing
130215;Watching gymnastics
130216;Watching hockey
130217;Watching martial arts
130218;Watching racquet sports
130219;Watching rodeo competitions
130220;Watching rollerblading
130221;Watching rugby
130222;Watching running
130223;Watching skiing, ice skating, snowboarding
130224;Watching soccer
130225;Watching softball
130226;Watching vehicle touring/racing
130227;Watching volleyball
130228;Watching walking
130229;Watching water sports
130230;Watching weightlifting/strength training
130231;Watching people working out, unspecified
130232;Watching wrestling
130299;Attending sporting events, n.e.c.
1302;Attending Sports/Recreational Events
130301;Waiting related to playing sports or exercising
130302;Waiting related to attending sporting events
130399;Waiting associated with sports, exercise, & recreation, n.e.c.
1303;Waiting Associated with Sports, Exercise, & Recreation
130401;Security related to playing sports or exercising
130402;Security related to attending sporting events
130499;Security related to sports, exercise, & recreation, n.e.c.
1304;Security Procedures Related to Sports, Exercise, & Recreation
139999;Sports, exercise, & recreation, n.e.c.
1399;Sports, Exercise, and Recreation, n.e.c.
13;Sports, Exercise, & Recreation
140101;Attending religious services
140102;Participation in religious practices
140103;Waiting associated w/religious & spiritual activities
140104;Security procedures related to religious & spiritual activities
140105;Religious education activities
1401;Religious/Spiritual Practices
149999;Religious and spiritual activities, n.e.c.
1499;Religious and Spiritual Practices, n.e.c.
14;Religious and Spiritual Activities
150101;Computer use
150102;Organizing and preparing
150103;Reading
150104;Telephone calls (except hotline counseling)
150105;Writing
150106;Fundraising
150199;Administrative & support activities, n.e.c.
1501;Administrative & Support Activities
150201;Food preparation, presentation, clean-up
150202;Collecting & delivering clothing & other goods
150203;Providing care
150204;Teaching, leading, counseling, mentoring
150299;Social service & care activities, n.e.c.
1502;Social Service & Care Activities (Except Medical)
150301;Building houses, wildlife sites, & other structures
150302;Indoor & outdoor maintenance, repair, & clean-up
150399;Indoor & outdoor maintenance, building & clean-up activities, n.e.c.
1503;Indoor & Outdoor Maintenance, Building, & Clean-up Activities
150401;Performing
150402;Serving at volunteer events & cultural activities
150499;Participating in performance & cultural activities, n.e.c.
1504;Participating in Performance & Cultural Activities
150501;Attending meetings, conferences, & training
150599;Attending meetings, conferences, & training, n.e.c.
1505;Attending Meetings, Conferences, & Training
150601;Public health activities
150602;Public safety activities
150699;Public health & safety activities, n.e.c.
1506;Public Health & Safety Activities
159989;Volunteer activities, n.e.c.
1599;Volunteer Activities, n.e.c.
15;Volunteer Activities
160101;Telephone calls to/from family members
160102;Telephone calls to/from friends, neighbors, or acquaintances
160103;Telephone calls to/from education services providers
160104;Telephone calls to/from salespeople
160105;Telephone calls to/from professional or personal care services providers
160106;Telephone calls to/from household services providers
160107;Telephone calls to/from paid child or adult care providers
160108;Telephone calls to/from government officials
1601;Telephone Calls (to or from)
169989;Telephone calls, n.e.c.
1699;Telephone Calls, n.e.c.
16;Telephone Calls
180101;Travel related to personal care
180199;Travel related to personal care, n.e.c.
1801;Travel Related to Personal Care
180280;Travel related to household activities
1802;Travel Related to Household Activities
180381;Travel related to caring for and helping HH children
180382;Travel related to caring for and helping HH adults
180399;Travel related to caring for & helping HH members, n.e.c.
1803;Travel Related to Caring For & Helping Household Members
180481;Travel related to caring for and helping NonHH children
180482;Travel related to caring for and helping NonHH adults
180499;Travel related to caring for & helping NonHH members, n.e.c.
1804;Travel Related to Caring For & Helping Nonhousehold Members
180501;Travel related to working
180502;Travel related to work-related activities
180589;Travel related to work, n.e.c.
1805;Travel Related to Work
180601;Travel related to taking class
180682;Travel related to education (except taking class)
180699;Travel related to education, n.e.c.
1806;Travel Related to Education
180701;Travel related to grocery shopping
180782;Travel related to shopping (except grocery shopping)
1807;Travel Related to Consumer Purchases
180801;Travel related to using childcare services
180802;Travel related to using financial services and banking
180803;Travel related to using legal services
180804;Travel related to using medical services
180805;Travel related to using personal care services
180806;Travel related to using real estate services
180807;Travel related to using veterinary services
180899;Travel related to using prof. & personal care services, n.e.c.
1808;Travel Related to Using Professional and Personal Care Services
180901;Travel related to using household services
180902;Travel related to using home main./repair/décor./construction services
180903;Travel related to using pet services (not vet)
180904;Travel related to using lawn and garden services
180905;Travel related to using vehicle maintenance & repair services
180999;Travel related to using household services, n.e.c.
1809;Travel Related to Using Household Services
181002;Travel related to civic obligations & participation
181081;Travel related to using government services
181099;Travel related to government services & civic obligations, n.e.c.
1810;Travel Related to Using Government Services & Civic Obligations
181101;Travel related to eating and drinking
181199;Travel related to eating and drinking, n.e.c.
1811;Travel Related to Eating and Drinking
181201;Travel related to socializing and communicating
181202;Travel related to attending or hosting social events
181204;Travel related to arts and entertainment
181283;Travel related to relaxing and leisure
181299;Travel related to socializing, relaxing, & leisure, n.e.c.
1812;Travel Related to Socializing, Relaxing, and Leisure
181301;Travel related to participating in sports/exercise/recreation
181302;Travel related to attending sporting/recreational events
181399;Travel related to sports, exercise, & recreation, n.e.c.
1813;Travel Related to Sports, Exercise, and Recreation
181401;Travel related to religious/spiritual practices
181499;Travel related to religious/spiritual activities, n.e.c.
181501;Travel related to volunteering
181599;Travel related to volunteer activities, n.e.c.
181601;Travel related to phone calls
181699;Travel related to phone calls, n.e.c.
181801;Security procedures related to traveling
181899;Security procedures related to traveling, n.e.c.
189999;Traveling, n.e.c.
18;Traveling
500101;Insufficient detail in verbatim
500103;Missing travel or destination
500104;Recorded simultaneous activities incorrectly
500105;Respondent refused to provide information/none of your business
500106;Gap/can't remember
500107;Unable to code activity at 1st tier
5001;Unable to Code
509989;Data codes, n.e.c.
509989;Insufficient detail in verbatim
5099;Data codes, n.e.c.
50;Data Codes
